No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date
5336,SIMO,Silicon Motion Technology Corp.,Technology,Diversified Electronics,Taiwan,509.49,13.33,9.77,0.67,2.39,2.04,3.48,5.86,0.95,0,1.18,856.29,10.27,6.7,20,16.12,2302.12,3451.76,32.39,29.81,,,32.86,6.29,2.87,2.95,25.34,31.01,30.53,4.63,3.93,0,0,48.11,20.59,18.64,5.5,11.56,8.63,21.47,-32.26,10.62,1.97,0.45,2.53,2.73,5.07,13.14,7.06,-0.88,30.54,-37.03,38.96,64.26,1.68,-0.26,2,289.36,1.09,15.73,1.42,316262,2/4/2013 16:30
5337,SINA,Sina Corp.,Technology,Internet Software & Services,China,3743.84,96.86,76.96,4.06,7.15,3.29,5.38,,,,0.58,-1387.27,711.11,-17.81,23.83,17.8,102.89,16.96,66.64,63.91,6.78,,81.97,-3.53,5.29,1.3,2.73,3.57,3.21,4.09,,0,0,52.46,-1.56,7.4,0.99,16.97,0.27,23.53,-12.63,11.87,1.43,2.09,3.34,3.87,5.02,13.81,3.82,-4.41,36.56,-30.47,36.56,64.02,-2.01,1.31,2.3,2609.29,0.61,56.18,-0.72,1586599,2/25/2013
5338,SINO,"Sino-Global Shipping America, Ltd.",Services,Air Delivery & Freight Services,USA,5.83,,,,0.18,1.15,1.87,,,,-0.45,-104.79,,0,,27.41,71.43,-8.27,2.9,1.09,62.92,,0.63,255.52,0.54,0.14,-27.25,-22.89,-43.01,1.2,,0,0,7.91,-7.82,-7.32,0,4.69,-6.51,-16.25,-34.1,12.29,1.04,0.19,6.4,9.61,-2.26,11.77,-11.38,-26.91,54.62,-64.92,54.62,51.57,-5.19,10.42,,43.18,1.39,2.01,4.69,60027,2/11/2013
5339,SIR,Select Income REIT,Financial,REIT - Office,USA,787.62,,10.46,,,1.1,73.68,,6.66,,,,3.43,0,2,,-8.4,14.7,31.23,9.22,0.05,,22.5,2.18,3.17,1.11,,,,,,0.66,0.66,,,,1.2,5.39,5.04,5.21,,3.57,,0.32,1.23,1.38,2.45,2.79,7.81,-4.12,7.87,-4.12,25.3,62.82,0.68,0.24,2.3,264.21,0.35,25.22,0.92,91715,11/1/2012 8:30
5340,SIRI,SIRIUS XM Radio Inc.,Services,Broadcasting - Radio,USA,16584.03,6.56,31.5,0.24,5.04,3.94,29.81,26.21,,0,0.48,874.48,-81.13,0,27.87,36.45,-29.23,13.74,5264.77,3307.98,0.04,10.17,36.44,4.46,11.46,5.53,41.11,87.11,56.35,0.81,0.79,0.58,0.59,60.19,20.67,102.87,-0.32,7.51,11.7,54.41,54.41,9,2.19,0.06,1.42,1.79,2.02,8.92,30.12,-1.25,25.9,-1.25,79.92,65.39,-0.32,0.32,2.1,68511.25,0.45,3.15,0,30516858,2/5/2013 8:30
5341,SIRO,Sirona Dental Systems Inc.,Healthcare,Medical Appliances & Equipment,USA,3623.29,27.92,17.25,2.37,3.7,3.67,23.98,23.57,,0,2.36,10.93,12.35,18.32,11.78,8.21,157.3,13.06,54.99,54.88,0.66,2.83,,2.48,1.16,1.9,8.42,13.93,10.88,2.2,1.76,0.08,0.08,53.5,18.97,13.85,0.55,5.88,19.65,56.51,36.5,2.22,1.54,1.21,2.11,1.74,0.46,4.08,23.52,-3.26,19.21,-3.26,62.33,54.8,-2.04,-0.97,1.6,335.84,1.64,65.89,-2.99,549424,2/8/2013 8:30
5342,SIVB,SVB Financial Group,Financial,Regional - Pacific Banks,USA,2860.86,16.43,16.6,1.27,4.41,1.6,2.84,,,,3.91,-0.7,6.03,3.61,12.95,7.91,38.06,13.78,44.52,43.98,0.41,12.31,95.61,-0.21,1.75,2.97,1.17,10.3,,,,0.25,0.34,,38.08,26.2,4.52,14.42,11.02,12.21,16.9,14.81,1.57,1.23,2.39,1.91,7.35,12.56,9.77,0.03,22.63,-4.79,23.67,75.75,1.09,-0.9,2.5,259.04,1.43,64.26,0.17,370570,1/24/2013 16:30
5343,SIVR,ETFS Physical Silver Shares,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.14,2.93,-2.65,12.61,-7.62,1.63,,0.55,0.92,1.44,-0.3,-3.39,0.53,-10.31,4.34,-17.9,17.82,42.58,-0.33,-0.87,,218.61,0.87,30.54,-1.2,190613,
5344,SIX,Six Flags Entertainment Corporation,Services,General Entertainment,USA,3292.59,38.11,28.19,3.81,3.09,4.16,11.7,21.3,5.83,100.36,1.62,-111.82,-34.23,0,10,1.46,26.2,2.01,53.33,51.32,5.13,20.74,97.5,-0.02,6.21,6.28,4.89,11.04,6.46,2.36,2.23,1.06,1.07,92.49,14.22,12.86,-1.61,4.4,0.62,12.93,49.46,0.88,,0.95,0.91,1.38,-1.05,1.53,13.48,-4.91,13.39,-4.91,50.22,49.29,-0.98,0,2,507.5,0.74,61.74,-0.98,374539,2/20/2013 8:30
5345,SIZ,QuantShares US Market Neutral Size ETF,Financial,Exchange Traded Fund,USA,536.75,,,,,,,,,,,,,,,,,,21.47,17.1,,,,,3.86,303.22,,,,,,,,,,,-0.36,0.16,2.75,0.6,-0.16,0.16,0.17,0.03,0,0.07,-0.31,0.75,1.06,-1.15,2.12,-7.89,3.69,50.59,0,0,,2.18,0.05,25,0,0,
5346,SJI,"South Jersey Industries, Inc.",Utilities,Gas Utilities,USA,1687.73,15.69,16.07,2.24,2.39,2.41,404.73,,3.28,47.26,3.44,33.05,8.39,3.88,7,-2.31,140.36,-18.63,31.26,31.03,0.72,-12.91,60.83,0.11,2.48,6.24,4.55,16.14,5.94,0.59,0.47,0.81,1.3,25.06,17.95,14.42,2.18,7.92,6.91,6.07,2.27,7.27,0.31,0.78,1.25,1.46,4.06,7.28,8.04,0.28,18.89,-0.67,18.97,77.18,0.24,0.07,1.5,123.34,0.81,53.99,0.32,100362,2/25/2013
5347,SJL,ProShares UltraShort Russell MidCap Val,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.44,-17.97,-18.93,-32.82,-36.78,-13.36,,0.24,0,0.18,-8.21,-15.49,-26.52,-25.68,0,-40.16,0,0,0,0,,0.24,0.41,27.76,0,0,
5348,SJM,The J. M. Smucker Company,Consumer Goods,Processed & Packaged Goods,USA,9631.25,20.65,15.63,2.45,1.65,1.87,47.31,16.76,2.34,46.4,4.3,1.07,9.02,8.05,8.42,20.8,22.18,7.59,108.46,103.7,0.29,-11.28,74.36,0.02,2.09,3.85,5.22,9.06,5.6,2.46,1.08,0.39,0.4,33.56,14.16,8.26,-0.85,4.12,4.91,19.89,12.16,2.97,0.62,1.12,1.22,1.2,-0.01,1.41,9.1,-1.67,8.82,-1.67,28.4,52.2,-0.87,0.36,2.6,563.26,0.96,88.8,-0.52,543121,2/15/2013 8:30
5349,SJNK,SPDR BarCap ST High Yield Bond ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,1.44,2.38,6.14,,1.21,,0.09,0.15,0.33,0.62,1.67,4.47,-0.06,4.28,-0.06,10.41,76.77,0,0.1,,379.89,1.11,30.92,0.1,423293,
5350,SJR,"Shaw Communications, Inc.",Services,CATV Systems,Canada,10511.76,14.11,14.19,3.57,2.1,2.67,,,4.33,,1.67,31.22,2.5,12.74,3.95,12.49,15.44,3.13,446.17,371.43,7.7,,59.15,-0.12,0.8,17.27,6.32,20.88,7.47,0.49,0.42,1.21,1.31,,26.6,15.76,-0.63,4.53,15.83,24.85,24.59,2.88,0.65,0.41,1.52,1.82,1.35,5.03,16.41,-2.56,13.97,-2.56,33.23,60.24,0.9,-0.17,2.9,172.99,1.11,23.56,0.73,192509,4/13/2011
5351,SJT,San Juan Basin Royalty Trust,Basic Materials,Independent Oil & Gas,USA,718.73,14.83,19.04,,14.34,59.31,1088.98,,3.57,100,1.04,-14.25,12.5,-13.14,,-12.96,-73.86,-72.39,46.61,46.61,0.03,,25.17,0.77,1.71,2.82,295.24,375.53,371.06,,,0,0,,96.9,96.9,-0.84,20.37,6.49,-3.75,-18.88,14.99,0.75,0.48,3.29,3.35,5.67,12.9,5.35,-4.81,25.26,-22.86,29.57,62.72,-2.77,-0.56,,282.94,0.83,15.42,-3.32,236080,11/12/2012
5352,SJW,SJW Corp.,Utilities,Water Utilities,USA,493.11,21.67,19.73,1.55,1.89,1.82,73.82,,2.69,58.11,1.22,-14.69,27.62,-11.81,14,4.78,22.42,11.45,18.65,12.93,1.84,13.19,49.07,0.33,2.05,9.87,2.2,8.64,2.3,1.22,1.2,1.24,1.26,54.32,22.07,8.8,2.08,0.53,12.27,14.51,16.02,-0.6,0.58,0.69,2.38,2.59,0.5,5.29,9.73,-4.2,17.2,-4.2,17.49,55.57,-0.15,0.11,1.5,26.92,1.06,26.44,-0.04,28433,2/15/2013
5353,SKBI,Skystar Bio Pharmaceutical Company,Healthcare,Drug Manufacturers - Major,China,13.22,1.45,,0.25,0.32,0.14,4.95,,,0,1.2,-3.7,,32.24,5.9,40.05,-66.67,-57.26,7.6,6.03,20.71,,3.57,312.09,0.82,7.45,8.09,9.74,9.58,3.7,2.93,0.01,0.11,53.08,27.74,21.3,0.58,10.13,-4.4,-19.07,-38.3,8.75,0.38,0.09,4.67,4.39,2.35,0.32,-14.31,-10.77,13.73,-46.3,14.47,51.1,0.58,-1.14,5,6.65,0.62,1.74,-0.57,4096,11/14/2012
5354,SKF,ProShares UltraShort Financials,Financial,Exchange Traded Fund,USA,843.98,,,,,,,,,,,,,,,,,,28.35,4.35,,,,,14.94,1.95,,,,,,,,,,,-2.55,-11.95,-18.82,-34.04,-41.15,-11.24,-2.42,0.61,1.33,1.77,-4.6,-12.82,-25.2,-25.96,1.02,-43.99,1.02,25.05,0.98,-0.3,,333.32,0.24,29.77,0.68,81083,
5355,SKH,"Skilled Healthcare Group, Inc.",Healthcare,Long-Term Care Facilities,USA,204.65,8.7,6.64,0.79,0.24,2.21,63.95,4.41,,0,0.61,-19346.45,6.67,-0.83,11,10.34,102.58,-0.09,38.54,36.14,3.35,61.17,58.52,0.49,2.97,6.23,3.31,28.19,3.88,1.28,,4.73,4.88,14.59,4.18,2.63,-0.38,-18.56,-19.67,-6.02,0.57,-16.64,0.74,0.24,3.93,4.53,-6.96,-14.25,-15.21,-23.82,5.78,-36.86,6.84,35.39,4.12,0.39,2.9,172.23,1.21,5.31,4.53,208539,2/13/2013
5356,SKK,ProShares UltraShort Russell2000 Growth,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.75,-15.78,-21.38,-30.57,-32,-14.8,,0.4,0.73,1.13,-7.53,-15.78,-23.4,-30.71,-0.05,-39.77,-0.05,21.75,0,-0.58,,6.24,0.06,20.55,-0.58,350,
5357,SKM,SK Telecom Co. Ltd.,Technology,Wireless Communications,South Korea,12573.29,8.01,9.15,1.01,1.28,1.72,12.98,43.81,4.52,48.82,2.16,-11.03,6.78,-2.34,7.9,7.71,-22.38,1.94,726.78,519.68,,,23.48,-0.41,0.35,1.13,10.63,23.81,14.75,1.43,1.41,0.41,0.54,95.47,22.76,14.13,1.29,6.13,11.18,29.88,22.87,9.29,0.95,0.28,1.05,1.19,4.48,7.74,21.44,-3.84,14.8,-3.84,59.45,63.24,-0.69,0.23,3.5,1625.34,1.87,17.3,-0.46,3038250,1/25/2011
5358,SKS,Saks Incorporated,Services,Department Stores,USA,1685.82,24.76,22.28,1.75,0.54,1.44,22.72,23.08,,0,0.45,51.89,13.64,3.64,14.18,0.85,28.06,3.02,151.33,101.37,0.63,-78.05,67.97,7.16,22.42,10.63,3.65,6.75,4.69,2.4,0.49,0.32,0.33,40.61,4.64,2.57,2.48,9,10.08,9.86,12.75,5.99,2.53,0.27,2.74,2.5,4.59,5.48,4.99,-1.24,20.56,-8.24,20.56,61.59,-0.45,-0.09,2.8,2137.23,0.77,11.14,-0.54,1638936,2/26/2013 8:00
5359,SKT,Tanger Factory Outlet Centers Inc.,Financial,REIT - Retail,USA,3319.72,67.98,50.5,7.37,9.45,6.9,349.08,93.46,2.38,155.97,0.52,62.18,29.63,10.15,9.23,8.36,12.86,8.7,93.91,92.54,0.14,8.23,92.36,-0.54,4.98,7.14,3.48,10.13,3.73,,,2.19,2.19,55.36,30.09,16.01,0.86,4.09,13.34,12.12,23.56,3.36,0.66,0.42,1.05,1.16,1.45,5.16,9.86,-0.73,13.67,-0.73,26.08,71.29,-0.08,-0.37,2.5,645.05,1.07,35.35,-0.45,692975,2/12/2013 16:30
5360,SKUL,"Skullcandy, Inc.",Industrial Goods,Industrial Electrical Equipment,USA,188.92,7.07,6.18,0.39,0.67,1.48,99.43,,,0,0.97,213.62,8.82,87.33,18.12,91.17,544.46,17.08,27.54,16.54,4.66,-30.75,70.72,-2.6,34.58,8.04,17.12,24.26,23.89,3.32,1.87,0,0.04,49.05,15.8,9.54,-0.29,-15.93,-42.64,-50.75,-47.67,-11.94,,0.27,3.03,4.35,-2.85,-11.96,-44.59,-23.78,8.2,-61.37,8.2,40.43,2.54,-0.89,2.3,711.06,0.62,6.86,1.63,439293,2/18/2013
5361,SKX,Skechers USA Inc.,Consumer Goods,Textile - Apparel Footwear & Accessories,USA,955.27,,22.26,,0.66,1.07,3.1,26.31,,,-1.07,-150.14,,-18.59,15,5.91,31.42,4.18,50.49,38.44,0.91,-31.37,91.67,-0.79,7.72,6.86,-3.99,-5.86,-5.31,2.83,1.91,0.08,0.16,43.34,-6.08,-3.54,2.27,6.65,12.15,3.56,47.24,2.27,1.56,0.64,2.57,3.62,2.76,2.6,1.41,-6.52,24.64,-15.42,58.06,53.54,3.96,0.22,2.4,432.16,1.44,18.92,4.19,620157,2/14/2013
5362,SKY,Skyline Corp.,Industrial Goods,Manufactured Housing,USA,39.01,,,,0.22,0.77,1.65,,,,-1.7,27.27,,-30.94,,-12.93,49.59,-7.64,8.39,6.85,56.48,,73.97,-0.8,0.65,1.82,-17.5,-24.59,-21.71,3.02,2.34,0,0,4.64,-7.99,-7.98,6.41,6.65,4.73,-6.63,-31.72,14.53,1.08,0.27,6.42,6.09,7.03,11.78,-1.32,-2.11,29.17,-44.24,29.17,60.16,0.43,-1.07,,24.53,0.53,4.65,-0.64,13040,10/1/2012
5363,SKYW,SkyWest Inc.,Services,Regional Airlines,USA,664.84,36.03,9.83,0.52,0.18,0.48,0.92,5.21,1.23,42.35,0.36,-130.72,53.49,-21.21,69.2,3.25,17980.18,-9.44,51.26,49.47,2.09,,80.67,-3.25,3.77,5.1,0.45,1.41,0.52,2.32,2.13,1.11,1.24,57.28,3.24,0.53,-4.7,4.09,14.17,91.86,4.34,4.43,1.13,0.42,3.95,2.99,-2,5.21,34.86,-6.89,20.31,-7.92,110.16,49.63,0.23,0,2.8,366.06,1.06,12.97,0.23,387094,2/11/2013
5364,SKYY,First Trust ISE Cloud Computing Index,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,5.33,9.47,16.69,24.44,15.45,9.41,,0.33,1.25,1.28,5.9,10.43,13.42,-0.23,21.45,-0.23,27.43,77.25,-1.18,1.29,,34.57,1.21,21.74,0.09,41813,
5365,SLA,American Select Portfolio Inc.,Financial,Closed-End Fund - Debt,USA,117.57,8.48,,,10.81,0.92,,,6.8,,1.3,,,,,,187.2,-4.5,10.66,7.99,7.31,0.35,28.7,3.03,0.04,0.07,,,,,,,,,,,-0.73,1.28,-1,7.08,17.21,0.91,0.39,0.14,1.35,1.15,0.55,1.42,5.32,-1.88,12.04,-2.65,17.56,53.87,-0.1,0.18,,40.27,0.52,11.03,0.08,20896,
5366,SLAB,Silicon Laboratories Inc.,Technology,Semiconductor - Specialized,USA,1819.58,32.89,18.77,1.64,3.39,2.94,6.64,277.8,,0,1.33,-49.51,9.39,24.15,20,11.28,-8.01,25.49,41.6,38.57,0.71,-11.93,88.36,0.11,3.55,5.34,7.53,9.67,8.67,3.83,3.46,0.15,0.16,59.82,14.06,10.73,3.06,4.24,21.13,16.33,-6.48,4.64,1.11,0.85,1.51,1.93,4.08,5.03,13.9,-0.57,12.88,-8.15,36.69,66.43,0.85,1.31,2.1,256.41,1.43,43.74,2.17,367534,1/30/2013 8:30
5367,SLB,Schlumberger Limited,Basic Materials,Oil & Gas Equipment & Services,USA,105249.75,19.53,13.53,1.21,2.49,3.02,16.78,,1.58,26.33,4.06,17.13,23.37,-0.66,16.18,12.29,-1.77,8.45,1327.57,1323.65,0.28,-0.33,76.09,-0.09,0.89,1.8,9.37,16.45,11.67,1.95,,0.27,0.33,21.56,16.99,12.92,3.63,14.73,11.69,17.05,5.65,14.4,1.38,1.36,1.61,1.68,8.1,10.72,13.31,-0.65,19.07,-0.7,35.12,76.25,-0.56,0.28,1.7,6549.03,1.09,79.28,-0.29,7106779,1/18/2013 8:30
5368,SLCA,"U.S. Silica Holdings, Inc.",Basic Materials,Industrial Metals & Minerals,USA,1056.47,15.62,11.9,0.27,2.6,4.44,11.36,,,0,1.28,165.57,19.15,0,58.7,,81.93,57.77,52.85,52.77,0.18,605.59,91.92,-0.39,10.05,10.57,10.87,37.8,12,2.66,2.2,1.06,1.12,42.07,25.3,16.57,5.6,22.11,57.28,102.94,,19.49,,0.86,3.63,4.93,9.63,21.59,47.18,-1.53,61.87,-6.81,128.66,66.46,-0.05,1.21,2.1,501.52,0.51,19.99,1.16,256127,11/1/2012 16:30
5369,SLF,Sun Life Financial Inc.,Financial,Life Insurance,Canada,17477.17,29.74,11.3,3.49,0.87,1.05,2.56,159.77,4.97,141.34,0.98,-122.52,2.8,-7.6,8.53,-1.45,159.69,-30.24,599.56,599.49,,,53.75,-1.03,0.45,6.87,0.33,4.21,,,,0.35,0.35,,2.48,3.6,0.69,9.75,19.96,52.06,47.45,9.88,1.65,0.48,1.44,1.62,3.94,6.54,23.93,-1.72,18.14,-1.72,58.44,69.97,-0.24,0.17,3,389.73,0.55,29.15,-0.07,213250,2/16/2011 16:30
5370,SLG,SL Green Realty Corp.,Financial,REIT - Retail,USA,7366.96,55.84,74.11,10.78,5.34,1.15,45.37,93.69,1.62,67.96,1.46,130.36,-27.15,35.9,5.18,22.88,18.14,17.88,90.37,89.68,0.7,-8.66,,-0.93,4.29,5.73,1.4,2.25,1.55,,,0.99,0.99,59.27,6.5,13.92,1.61,7.52,5.26,7.43,10.72,6.35,2.4,1.09,1.6,1.35,3.29,6.71,5.33,0.07,15.76,-4.21,17.15,75.7,-0.11,0.21,2.5,672.21,0.8,81.52,0.1,535520,7/25/2012 16:30
5371,SLGN,Silgan Holdings Inc.,Consumer Goods,Packaging & Containers,USA,2917.47,18.57,13.51,2.06,0.82,3.97,6.9,26.56,1.14,20.82,2.27,45.17,15.56,15.67,9.01,5.64,0.78,-0.74,69.2,48.54,0.04,-26.54,70.1,1.42,0.51,1.07,4.85,22.66,6.23,1.97,1.29,2.13,2.7,14.72,8.36,4.46,-0.94,1.32,-0.17,3.41,7.06,1.49,0.41,0.61,1.36,1.36,-0.58,-1.82,-1.17,-6.46,3.56,-6.46,8.4,44.99,0.12,-0.07,2.6,229.11,0.87,42.16,0.05,198593,1/29/2013 16:30
5372,SLH,Solera Holdings Inc.,Technology,Business Software & Services,USA,3892.46,36.49,19.78,3.44,4.94,5.43,7.17,21.7,0.88,27.42,1.55,-31.88,10,20.43,10.62,10.86,11.01,-1.5,68.82,68.33,0.73,8.65,97.8,0.34,1.86,4.5,5.58,14.63,6.43,3.94,,1.6,1.6,69.11,19.63,15.29,1.04,7.16,22.88,52.25,18.85,5.78,0.81,0.72,0.9,1.26,2.77,6.81,23.89,-0.11,19.12,-0.11,54.52,70.83,0.12,0.07,2.4,281.99,0.57,56.56,0.19,160177,2/6/2013
5373,SLI,SL Industries Inc.,Technology,Diversified Electronics,USA,73.89,8.94,7.36,,0.37,1.32,41.51,7.65,,0,2,66.73,8.48,18.96,,3.73,25.44,-2.32,4.13,4.1,0.42,,75.86,-34.21,0.15,1.11,8,15.38,11.62,2.01,1.3,0,0,32.27,6.28,4.39,-0.61,-1.97,67.35,23.72,9.35,-0.61,1.97,0.7,2.73,3.03,-0.62,4.21,25.99,-11.65,43.51,-11.65,76.78,50.87,0.56,-1.17,1,5.57,0.44,17.89,-0.61,2453,11/6/2012
5374,SLM,SLM Corporation,Financial,Credit Services,USA,7741.18,8.68,6.81,0.81,1.27,1.5,1.55,,2.99,25.54,1.93,70.79,6.96,26.01,10.75,-7.7,-24.6,-14.33,462.16,459.08,0.15,-4.15,96.86,-0.05,0.73,1.01,0.5,20.04,0.58,,,30.12,34.04,60.58,23.43,15.33,-0.77,0.12,0.54,8.84,18.37,-2.22,1.34,0.28,1.44,1.59,-2.54,-1.17,6.43,-5.58,3.2,-6.2,33.56,41.31,-0.71,-0.18,1.5,3334.52,0.48,16.75,-0.89,1591949,1/16/2013 16:30
5375,SLP,Simulations Plus Inc.,Technology,Business Software & Services,USA,69.05,26.94,18.74,,7.28,4.63,6.07,3452.31,12.99,120.26,0.16,5.16,27.78,16.35,,1.3,-23.37,1.87,16.02,9.25,78.11,-0.87,13.71,-19.84,0.11,0.72,15.79,17.59,16.71,18.65,,0,0,83.72,36.46,27.86,2.62,-4.01,-3.36,9.39,50.7,-1.82,0.83,0.16,4.48,3.59,0.03,0.08,3.24,-6.91,6.65,-8.06,52.13,50.49,-1.6,1.15,2,13.54,1.71,4.31,-0.46,23171,1/14/2013
5376,SLRC,Solar Capital Ltd.,Financial,Diversified Investments,USA,1130.46,6.29,9.64,1.26,7.65,1.09,86.63,,9.69,61.75,3.94,-60.59,17.89,5.19,5,,157.51,15.05,45.62,41.4,11.36,0.43,48.58,0.23,2.49,2.66,11.61,17.48,12.61,,,0.28,0.28,84.9,53.25,97.66,-0.04,4.69,12.69,14.67,21.41,3.64,,0.37,0.89,1.47,1.17,6.55,14.15,-1.31,19.68,-1.31,33.78,64.01,0.16,0.28,2.2,386.67,0.79,24.78,0.45,305949,2/21/2013 10:00
5377,SLT,Sterlite Industries (India) Ltd.,Basic Materials,Copper,India,7058.52,9.33,,,0.88,0.82,1.63,75.2,1.9,19.62,0.9,-16.37,,-32.82,-6.45,11.09,7.63,9.07,840.3,270.06,4.92,,7.47,-0.46,0.74,3.58,7.33,9.15,11.11,2.56,2.2,0.17,0.37,20.66,15.34,14.33,-1.75,-1.87,16.02,17.81,-7.39,-2.44,2.31,0.19,1.76,1.79,-2.67,2.61,10.34,-7.28,21.39,-20.87,33.51,49.64,0.36,-0.24,1,557.67,0.99,8.4,0.12,550103,10/27/2008
5378,SLTC,Selectica Inc.,Technology,Internet Software & Services,USA,24.93,,,,1.63,7.96,2.07,,,,-1.88,-326.88,,0,,-1.3,57.21,31.8,2.82,1.99,2.83,167.75,35.63,-16.24,0.39,0.96,-30.72,-95.06,-84.39,1.3,,0,1.91,60.62,-33.57,-33.85,-9.05,33.53,67.42,131.41,130.21,36,0.82,0.47,3.42,6.42,4.15,30.65,80.32,-9.33,72.32,-9.33,200.68,60.62,-6.55,-0.42,,8.03,1.61,8.84,-6.95,12885,10/30/2012
5379,SLTM,"Solta Medical, Inc.",Healthcare,Medical Appliances & Equipment,USA,178.92,,29,,1.3,1.65,4.64,42.6,,,-0.6,36.02,115.5,0,55,16.38,-131.63,27.79,68.55,66.18,1.33,2.24,78.68,4.27,1.99,7.66,-19.03,-31.79,-24.69,1.42,1.12,0.19,0.26,60.99,-30.19,-26.77,0.38,0,-8.74,-20.18,0.77,-2.25,2.56,0.09,2.64,3.65,-1.58,0.22,-9.04,-7.45,12.5,-26.06,12.5,47.17,-0.38,-0.38,1.5,171.85,0.78,2.61,-0.76,133929,2/13/2013
5380,SLV,iShares Silver Trust,Financial,Exchange Traded Fund,USA,10604.21,,,,,,,,,,,,,,,,,,355.25,354.2,,,,,4.81,1.53,,,,,,,,,,,-3.12,2.9,-2.71,12.51,-7.78,1.63,0.71,0.55,0.97,1.5,-0.29,-3.41,0.46,-10.39,4.33,-18.08,17.8,42.47,-0.33,-0.86,,11157.45,0.8,29.85,-1.19,8873547,
5381,SLVP,iShares MSCI Global Silver Miners,Financial,Exchange Traded Fund,USA,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.41,-5.2,-13.58,16.11,,-7.61,,0.4,1.3,1.33,-7.09,-7.66,-3.14,-13.4,-1.09,-24.65,19.21,28.43,0,-1.09,,5.1,0.1,20.04,-1.09,500,
5382,SLW,Silver Wheaton Corp.,Basic Materials,Silver,Canada,12066.64,21.97,15.99,0.37,16,4.05,21.74,,0.82,23.66,1.55,249.13,27.54,53.24,59.15,35.72,-11.34,-12.92,354.38,353.6,,,64.05,1.37,0.76,0.8,19.05,20.09,19.77,14.31,,0.01,0.02,77.53,74.24,73.33,-6.2,-1.36,-10.79,29.03,-0.12,-5.63,1.49,0.88,2.75,2.39,-4.93,-5.67,4.25,-13.73,0.06,-17.39,49.7,37.55,-0.7,-0.15,1.8,3363.97,0.9,34.05,-0.84,3042140,3/3/2011 16:30
5383,SLX,Market Vectors Steel ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.91,0.86,8.96,22.08,-12.24,-0.88,,0.79,1.3,1.51,-1.98,4.21,8,-5.8,18.53,-15.69,22.83,50.92,-1.73,0.31,,66.35,0.95,48.26,-1.43,63323,
5384,SLXP,Salix Pharmaceuticals Ltd.,Healthcare,Drugs - Generic,USA,2760.77,37.84,13.88,1.76,3.99,5.18,3.56,13.36,,0,1.24,405.37,5.96,17.23,21.55,20.98,-51.95,26.59,58.84,57.12,2.36,-6.72,,-0.55,4.31,4.38,5.62,15.84,6.53,4.81,4.5,1.63,1.63,82.47,19.55,11.58,1.14,14.94,17.89,-8.91,2,15.94,0.68,0.93,2.07,2.13,5.02,9.64,1.98,-1.84,19.94,-16.2,25.05,68.07,-1.18,-0.44,2.1,561.81,0.98,46.92,-1.61,549107,2/25/2013
5385,SLY,SPDR S&P 600 Small Cap ETF,Financial,Exchange Traded Fund,USA,236.68,,,,,,,,1.17,,,,,,,,,,2.95,2.92,,,,,0.34,0.64,,,,,,,,,,,1.56,8.01,11.68,18.54,15.89,6.82,1.24,0.72,0.58,0.81,3.31,7.64,12.07,-0.31,18.69,-0.31,24.74,78.74,-0.34,0.31,,15.66,0.85,80.23,-0.02,13319,
5386,SLYG,SPDR S&P 600 Small Cap Growth ETF,Financial,Exchange Traded Fund,USA,176.46,,,,,,,,1.3,,,,,,,,,,1.3,1.29,,,,,0,0,,,,,,,,,,,1.98,8.66,11.77,15.7,16.56,7.43,1.24,1.19,0.65,0.76,3.71,8.14,11.52,-0.13,18.07,-0.13,22.19,82.18,-0.35,0.38,,4.54,0.97,135.74,0.04,4379,
